sourceId,source,sourcePath,slug,nameEn,nameFr,category,primaryMusclesFr,secondaryMusclesFr,equipmentFr,difficulty,movementType,instructionsFr,commonMistakesFr,imagePath,animationPath,thumbnailPath,isActive,isVariant,canonicalKey,canonicalSlug,variantLabelFr
Alternate_Heel_Touchers,ExerciseDB,exercises/Alternate_Heel_Touchers/exercise.json,alternate-heel-touchers,Alternate Heel Touchers,Alternate Heel Touchers,Abdos,"[""Abdominaux""]",[],"[""Poids du corps""]",Débutant,Isolation,"Installe-toi correctement, garde le gainage et réalise le mouvement de façon contrôlée. Concentre-toi sur abdominaux et évite les à-coups. Reviens lentement en position de départ avant de répéter.","[""Perte de gainage"", ""Amplitude incomplète"", ""Mouvement trop rapide""]",/media/exercises/alternate-heel-touchers/image.webp,/media/exercises/alternate-heel-touchers/animation.webp,/media/exercises/alternate-heel-touchers/thumbnail.webp,True,True,heel-touchers,alternate-heel-touchers,Alterné
Alternate_Incline_Dumbbell_Curl,ExerciseDB,exercises/Alternate_Incline_Dumbbell_Curl/exercise.json,alternate-incline-halteres-curl,Alternate Incline Dumbbell Curl,Alternate Incline haltères Curl,Bras,"[""Biceps""]","[""Avant-bras""]","[""Haltères""]",Débutant,Isolation,"Installe-toi correctement, garde le gainage et réalise le mouvement de façon contrôlée. Concentre-toi sur biceps et évite les à-coups. Reviens lentement en position de départ avant de répéter.","[""Charge trop lourde"", ""Amplitude incomplète"", ""Mouvement trop rapide""]",/media/exercises/alternate-incline-halteres-curl/image.webp,/media/exercises/alternate-incline-halteres-curl/animation.webp,/media/exercises/alternate-incline-halteres-curl/thumbnail.webp,True,True,incline-dumbbell-curl,incline-halteres-curl,Alterné
Alternate_Leg_Diagonal_Bound,ExerciseDB,exercises/Alternate_Leg_Diagonal_Bound/exercise.json,alternate-leg-diagonal-bound,Alternate Leg Diagonal Bound,Alternate Leg Diagonal Bound,Pliométrie,"[""Quadriceps""]","[""Abducteurs"", ""Adducteurs"", ""Mollets"", ""Fessiers"", ""Ischios""]","[""Aucun""]",Débutant,Polyarticulaire,"Installe-toi correctement, garde le gainage et réalise le mouvement de façon contrôlée. Concentre-toi sur quadriceps et évite les à-coups. Reviens lentement en position de départ avant de répéter.","[""Charge trop lourde"", ""Amplitude incomplète"", ""Mouvement trop rapide""]",/media/exercises/alternate-leg-diagonal-bound/image.webp,/media/exercises/alternate-leg-diagonal-bound/animation.webp,/media/exercises/alternate-leg-diagonal-bound/thumbnail.webp,True,True,leg-diagonal-bound,alternate-leg-diagonal-bound,Alterné
Alternating_Cable_Shoulder_Press,ExerciseDB,exercises/Alternating_Cable_Shoulder_Press/exercise.json,alternating-poulie-developpe-epaules,Alternating Cable Shoulder Press,Alternating poulie Développé épaules,Épaules,"[""Épaules""]","[""Triceps""]","[""Poulie""]",Débutant,Polyarticulaire,"Installe-toi correctement, garde le gainage et réalise le mouvement de façon contrôlée. Concentre-toi sur épaules et évite les à-coups. Reviens lentement en position de départ avant de répéter.","[""Charge trop lourde"", ""Amplitude incomplète"", ""Mouvement trop rapide""]",/media/exercises/alternating-poulie-developpe-epaules/image.webp,/media/exercises/alternating-poulie-developpe-epaules/animation.webp,/media/exercises/alternating-poulie-developpe-epaules/thumbnail.webp,True,True,cable-shoulder-press,poulie-developpe-epaules,Alterné
Alternating_Deltoid_Raise,ExerciseDB,exercises/Alternating_Deltoid_Raise/exercise.json,alternating-deltoid-raise,Alternating Deltoid Raise,Alternating Deltoid Raise,Épaules,"[""Épaules""]",[],"[""Haltères""]",Débutant,Isolation,"Installe-toi correctement, garde le gainage et réalise le mouvement de façon contrôlée. Concentre-toi sur épaules et évite les à-coups. Reviens lentement en position de départ avant de répéter.","[""Charge trop lourde"", ""Amplitude incomplète"", ""Mouvement trop rapide""]",/media/exercises/alternating-deltoid-raise/image.webp,/media/exercises/alternating-deltoid-raise/animation.webp,/media/exercises/alternating-deltoid-raise/thumbnail.webp,True,True,deltoid-raise,alternating-deltoid-raise,Alterné
Alternating_Floor_Press,ExerciseDB,exercises/Alternating_Floor_Press/exercise.json,alternating-floor-press,Alternating Floor Press,Alternating Floor Press,Pectoraux,"[""Pectoraux""]","[""Abdominaux"", ""Épaules"", ""Triceps""]","[""Kettlebell""]",Débutant,Polyarticulaire,"Installe-toi correctement, garde le gainage et réalise le mouvement de façon contrôlée. Concentre-toi sur pectoraux et évite les à-coups. Reviens lentement en position de départ avant de répéter.","[""Charge trop lourde"", ""Amplitude incomplète"", ""Mouvement trop rapide""]",/media/exercises/alternating-floor-press/image.webp,/media/exercises/alternating-floor-press/animation.webp,/media/exercises/alternating-floor-press/thumbnail.webp,True,True,floor-press,floor-press,Alterné
Alternating_Hang_Clean,ExerciseDB,exercises/Alternating_Hang_Clean/exercise.json,alternating-hang-clean,Alternating Hang Clean,Alternating Hang Clean,Jambes,"[""Ischios""]","[""Biceps"", ""Mollets"", ""Avant-bras"", ""Fessiers"", ""Lombaires"", ""Trapèzes""]","[""Kettlebell""]",Intermédiaire,Polyarticulaire,"Installe-toi correctement, garde le gainage et réalise le mouvement de façon contrôlée. Concentre-toi sur ischios et évite les à-coups. Reviens lentement en position de départ avant de répéter.","[""Charge trop lourde"", ""Amplitude incomplète"", ""Mouvement trop rapide""]",/media/exercises/alternating-hang-clean/image.webp,/media/exercises/alternating-hang-clean/animation.webp,/media/exercises/alternating-hang-clean/thumbnail.webp,True,True,hang-clean,hang-clean,Alterné
Alternating_Kettlebell_Press,ExerciseDB,exercises/Alternating_Kettlebell_Press/exercise.json,alternating-kettlebell-press,Alternating Kettlebell Press,Alternating Kettlebell Press,Épaules,"[""Épaules""]","[""Triceps""]","[""Kettlebell""]",Intermédiaire,Polyarticulaire,"Installe-toi correctement, garde le gainage et réalise le mouvement de façon contrôlée. Concentre-toi sur épaules et évite les à-coups. Reviens lentement en position de départ avant de répéter.","[""Charge trop lourde"", ""Amplitude incomplète"", ""Mouvement trop rapide""]",/media/exercises/alternating-kettlebell-press/image.webp,/media/exercises/alternating-kettlebell-press/animation.webp,/media/exercises/alternating-kettlebell-press/thumbnail.webp,True,True,kettlebell-press,alternating-kettlebell-press,Alterné
Alternating_Kettlebell_Row,ExerciseDB,exercises/Alternating_Kettlebell_Row/exercise.json,alternating-kettlebell-rowing,Alternating Kettlebell Row,Alternating Kettlebell Rowing,Dos,"[""Milieu du dos""]","[""Biceps"", ""Grand dorsal""]","[""Kettlebell""]",Intermédiaire,Isolation,"Installe-toi correctement, garde le gainage et réalise le mouvement de façon contrôlée. Concentre-toi sur milieu du dos et évite les à-coups. Reviens lentement en position de départ avant de répéter.","[""Charge trop lourde"", ""Amplitude incomplète"", ""Mouvement trop rapide""]",/media/exercises/alternating-kettlebell-rowing/image.webp,/media/exercises/alternating-kettlebell-rowing/animation.webp,/media/exercises/alternating-kettlebell-rowing/thumbnail.webp,True,True,kettlebell-row,alternating-kettlebell-rowing,Alterné
Alternating_Renegade_Row,ExerciseDB,exercises/Alternating_Renegade_Row/exercise.json,alternating-renegade-rowing,Alternating Renegade Row,Alternating Renegade Rowing,Dos,"[""Milieu du dos""]","[""Abdominaux"", ""Biceps"", ""Pectoraux"", ""Grand dorsal"", ""Triceps""]","[""Kettlebell""]",Avancé,Polyarticulaire,"Installe-toi correctement, garde le gainage et réalise le mouvement de façon contrôlée. Concentre-toi sur milieu du dos et évite les à-coups. Reviens lentement en position de départ avant de répéter.","[""Charge trop lourde"", ""Amplitude incomplète"", ""Mouvement trop rapide""]",/media/exercises/alternating-renegade-rowing/image.webp,/media/exercises/alternating-renegade-rowing/animation.webp,/media/exercises/alternating-renegade-rowing/thumbnail.webp,True,True,renegade-row,alternating-renegade-rowing,Alterné
Ankle_Circles,ExerciseDB,exercises/Ankle_Circles/exercise.json,ankle-circles,Ankle Circles,Ankle Circles,Mobilité,"[""Mollets""]",[],"[""Aucun""]",Débutant,Isolation,"Installe-toi dans une position confortable, respire lentement et augmente l’amplitude sans douleur. Garde le contrôle pendant tout le mouvement.","[""Forcer l’amplitude"", ""Respiration bloquée"", ""Position non contrôlée""]",/media/exercises/ankle-circles/image.webp,/media/exercises/ankle-circles/animation.webp,/media/exercises/ankle-circles/thumbnail.webp,True,False,ankle-circles,ankle-circles,
Ankle_On_The_Knee,ExerciseDB,exercises/Ankle_On_The_Knee/exercise.json,ankle-sur-the-knee,Ankle On The Knee,Ankle sur The Knee,Mobilité,"[""Fessiers""]",[],"[""Aucun""]",Débutant,Non précisé,"Installe-toi dans une position confortable, respire lentement et augmente l’amplitude sans douleur. Garde le contrôle pendant tout le mouvement.","[""Forcer l’amplitude"", ""Respiration bloquée"", ""Position non contrôlée""]",/media/exercises/ankle-sur-the-knee/image.webp,/media/exercises/ankle-sur-the-knee/animation.webp,/media/exercises/ankle-sur-the-knee/thumbnail.webp,True,False,ankle-on-the-knee,ankle-sur-the-knee,
Anterior_Tibialis-SMR,ExerciseDB,exercises/Anterior_Tibialis-SMR/exercise.json,anterior-tibialis-smr,Anterior Tibialis-SMR,Anterior Tibialis SMR,Mobilité,"[""Mollets""]",[],"[""Autre""]",Intermédiaire,Non précisé,"Installe-toi dans une position confortable, respire lentement et augmente l’amplitude sans douleur. Garde le contrôle pendant tout le mouvement.","[""Forcer l’amplitude"", ""Respiration bloquée"", ""Position non contrôlée""]",/media/exercises/anterior-tibialis-smr/image.webp,/media/exercises/anterior-tibialis-smr/animation.webp,/media/exercises/anterior-tibialis-smr/thumbnail.webp,True,False,anterior-tibialis-smr,anterior-tibialis-smr,
Anti-Gravity_Press,ExerciseDB,exercises/Anti-Gravity_Press/exercise.json,anti-gravity-press,Anti-Gravity Press,Anti Gravity Press,Épaules,"[""Épaules""]","[""Milieu du dos"", ""Trapèzes"", ""Triceps""]","[""Barre""]",Débutant,Polyarticulaire,"Installe-toi correctement, garde le gainage et réalise le mouvement de façon contrôlée. Concentre-toi sur épaules et évite les à-coups. Reviens lentement en position de départ avant de répéter.","[""Charge trop lourde"", ""Amplitude incomplète"", ""Mouvement trop rapide""]",/media/exercises/anti-gravity-press/image.webp,/media/exercises/anti-gravity-press/animation.webp,/media/exercises/anti-gravity-press/thumbnail.webp,True,False,anti-gravity-press,anti-gravity-press,
Arm_Circles,ExerciseDB,exercises/Arm_Circles/exercise.json,arm-circles,Arm Circles,Arm Circles,Mobilité,"[""Épaules""]","[""Trapèzes""]","[""Aucun""]",Débutant,Isolation,"Installe-toi dans une position confortable, respire lentement et augmente l’amplitude sans douleur. Garde le contrôle pendant tout le mouvement.","[""Forcer l’amplitude"", ""Respiration bloquée"", ""Position non contrôlée""]",/media/exercises/arm-circles/image.webp,/media/exercises/arm-circles/animation.webp,/media/exercises/arm-circles/thumbnail.webp,True,False,arm-circles,arm-circles,
Arnold_Dumbbell_Press,ExerciseDB,exercises/Arnold_Dumbbell_Press/exercise.json,developpe-arnold-halteres,Arnold Dumbbell Press,Développé Arnold haltères,Épaules,"[""Épaules""]","[""Triceps""]","[""Haltères""]",Intermédiaire,Polyarticulaire,"Installe-toi correctement, garde le gainage et réalise le mouvement de façon contrôlée. Concentre-toi sur épaules et évite les à-coups. Reviens lentement en position de départ avant de répéter.","[""Charge trop lourde"", ""Amplitude incomplète"", ""Mouvement trop rapide""]",/media/exercises/developpe-arnold-halteres/image.webp,/media/exercises/developpe-arnold-halteres/animation.webp,/media/exercises/developpe-arnold-halteres/thumbnail.webp,True,False,arnold-dumbbell-press,developpe-arnold-halteres,
Around_The_Worlds,ExerciseDB,exercises/Around_The_Worlds/exercise.json,around-the-worlds,Around The Worlds,Around The Worlds,Pectoraux,"[""Pectoraux""]","[""Épaules""]","[""Haltères""]",Intermédiaire,Polyarticulaire,"Installe-toi correctement, garde le gainage et réalise le mouvement de façon contrôlée. Concentre-toi sur pectoraux et évite les à-coups. Reviens lentement en position de départ avant de répéter.","[""Charge trop lourde"", ""Amplitude incomplète"", ""Mouvement trop rapide""]",/media/exercises/around-the-worlds/image.webp,/media/exercises/around-the-worlds/animation.webp,/media/exercises/around-the-worlds/thumbnail.webp,True,False,around-the-worlds,around-the-worlds,
Atlas_Stone_Trainer,ExerciseDB,exercises/Atlas_Stone_Trainer/exercise.json,atlas-stone-trainer,Atlas Stone Trainer,Atlas Stone Trainer,Strongman,"[""Lombaires""]","[""Biceps"", ""Avant-bras"", ""Fessiers"", ""Ischios"", ""Quadriceps""]","[""Autre""]",Intermédiaire,Polyarticulaire,"Installe-toi correctement, garde le gainage et réalise le mouvement de façon contrôlée. Concentre-toi sur lombaires et évite les à-coups. Reviens lentement en position de départ avant de répéter.","[""Charge trop lourde"", ""Amplitude incomplète"", ""Mouvement trop rapide""]",/media/exercises/atlas-stone-trainer/image.webp,/media/exercises/atlas-stone-trainer/animation.webp,/media/exercises/atlas-stone-trainer/thumbnail.webp,True,False,atlas-stone-trainer,atlas-stone-trainer,
Atlas_Stones,ExerciseDB,exercises/Atlas_Stones/exercise.json,atlas-stones,Atlas Stones,Atlas Stones,Strongman,"[""Lombaires""]","[""Abdominaux"", ""Adducteurs"", ""Biceps"", ""Mollets"", ""Avant-bras"", ""Fessiers"", ""Ischios"", ""Milieu du dos"", ""Quadriceps"", ""Trapèzes""]","[""Autre""]",Avancé,Polyarticulaire,"Installe-toi correctement, garde le gainage et réalise le mouvement de façon contrôlée. Concentre-toi sur lombaires et évite les à-coups. Reviens lentement en position de départ avant de répéter.","[""Charge trop lourde"", ""Amplitude incomplète"", ""Mouvement trop rapide""]",/media/exercises/atlas-stones/image.webp,/media/exercises/atlas-stones/animation.webp,/media/exercises/atlas-stones/thumbnail.webp,True,False,atlas-stones,atlas-stones,
Axle_Deadlift,ExerciseDB,exercises/Axle_Deadlift/exercise.json,axle-souleve-de-terre,Axle Deadlift,Axle Soulevé de terre,Strongman,"[""Lombaires""]","[""Avant-bras"", ""Fessiers"", ""Ischios"", ""Milieu du dos"", ""Quadriceps"", ""Trapèzes""]","[""Autre""]",Intermédiaire,Polyarticulaire,"Installe-toi correctement, garde le gainage et réalise le mouvement de façon contrôlée. Concentre-toi sur lombaires et évite les à-coups. Reviens lentement en position de départ avant de répéter.","[""Charge trop lourde"", ""Amplitude incomplète"", ""Mouvement trop rapide""]",/media/exercises/axle-souleve-de-terre/image.webp,/media/exercises/axle-souleve-de-terre/animation.webp,/media/exercises/axle-souleve-de-terre/thumbnail.webp,True,False,axle-deadlift,axle-souleve-de-terre,
Back_Flyes_-_With_Bands,ExerciseDB,exercises/Back_Flyes_-_With_Bands/exercise.json,back-flyes-avec-bands,Back Flyes - With Bands,Back Flyes avec Bands,Épaules,"[""Épaules""]","[""Milieu du dos"", ""Triceps""]","[""Élastique""]",Débutant,Polyarticulaire,"Installe-toi correctement, garde le gainage et réalise le mouvement de façon contrôlée. Concentre-toi sur épaules et évite les à-coups. Reviens lentement en position de départ avant de répéter.","[""Charge trop lourde"", ""Amplitude incomplète"", ""Mouvement trop rapide""]",/media/exercises/back-flyes-avec-bands/image.webp,/media/exercises/back-flyes-avec-bands/animation.webp,/media/exercises/back-flyes-avec-bands/thumbnail.webp,True,True,back-flyes,back-flyes-avec-bands,Avec élastique
Backward_Drag,ExerciseDB,exercises/Backward_Drag/exercise.json,backward-drag,Backward Drag,Backward Drag,Strongman,"[""Quadriceps""]","[""Mollets"", ""Avant-bras"", ""Fessiers"", ""Ischios"", ""Lombaires""]","[""Autre""]",Débutant,Polyarticulaire,"Installe-toi correctement, garde le gainage et réalise le mouvement de façon contrôlée. Concentre-toi sur quadriceps et évite les à-coups. Reviens lentement en position de départ avant de répéter.","[""Charge trop lourde"", ""Amplitude incomplète"", ""Mouvement trop rapide""]",/media/exercises/backward-drag/image.webp,/media/exercises/backward-drag/animation.webp,/media/exercises/backward-drag/thumbnail.webp,True,False,backward-drag,backward-drag,
Backward_Medicine_Ball_Throw,ExerciseDB,exercises/Backward_Medicine_Ball_Throw/exercise.json,backward-medicine-ball-throw,Backward Medicine Ball Throw,Backward Medicine Ball Throw,Pliométrie,"[""Épaules""]",[],"[""Médecine ball""]",Débutant,Polyarticulaire,"Installe-toi correctement, garde le gainage et réalise le mouvement de façon contrôlée. Concentre-toi sur épaules et évite les à-coups. Reviens lentement en position de départ avant de répéter.","[""Charge trop lourde"", ""Amplitude incomplète"", ""Mouvement trop rapide""]",/media/exercises/backward-medicine-ball-throw/image.webp,/media/exercises/backward-medicine-ball-throw/animation.webp,/media/exercises/backward-medicine-ball-throw/thumbnail.webp,True,False,backward-medicine-ball-throw,backward-medicine-ball-throw,
Balance_Board,ExerciseDB,exercises/Balance_Board/exercise.json,balance-board,Balance Board,Balance Board,Jambes,"[""Mollets""]","[""Ischios"", ""Quadriceps""]","[""Autre""]",Débutant,Polyarticulaire,"Installe-toi correctement, garde le gainage et réalise le mouvement de façon contrôlée. Concentre-toi sur mollets et évite les à-coups. Reviens lentement en position de départ avant de répéter.","[""Charge trop lourde"", ""Amplitude incomplète"", ""Mouvement trop rapide""]",/media/exercises/balance-board/image.webp,/media/exercises/balance-board/animation.webp,/media/exercises/balance-board/thumbnail.webp,True,False,balance-board,balance-board,
Ball_Leg_Curl,ExerciseDB,exercises/Ball_Leg_Curl/exercise.json,ball-leg-curl,Ball Leg Curl,Ball Leg Curl,Jambes,"[""Ischios""]","[""Mollets"", ""Fessiers""]","[""Swiss ball""]",Débutant,Isolation,"Installe-toi correctement, garde le gainage et réalise le mouvement de façon contrôlée. Concentre-toi sur ischios et évite les à-coups. Reviens lentement en position de départ avant de répéter.","[""Charge trop lourde"", ""Amplitude incomplète"", ""Mouvement trop rapide""]",/media/exercises/ball-leg-curl/image.webp,/media/exercises/ball-leg-curl/animation.webp,/media/exercises/ball-leg-curl/thumbnail.webp,True,False,ball-leg-curl,ball-leg-curl,
Band_Assisted_Pull-Up,ExerciseDB,exercises/Band_Assisted_Pull-Up/exercise.json,band-assisted-pull-up,Band Assisted Pull-Up,Band Assisted Pull Up,Dos,"[""Grand dorsal""]","[""Abdominaux"", ""Avant-bras"", ""Milieu du dos""]","[""Autre""]",Débutant,Polyarticulaire,"Installe-toi correctement, garde le gainage et réalise le mouvement de façon contrôlée. Concentre-toi sur grand dorsal et évite les à-coups. Reviens lentement en position de départ avant de répéter.","[""Charge trop lourde"", ""Amplitude incomplète"", ""Mouvement trop rapide""]",/media/exercises/band-assisted-pull-up/image.webp,/media/exercises/band-assisted-pull-up/animation.webp,/media/exercises/band-assisted-pull-up/thumbnail.webp,True,False,band-assisted-pull-up,band-assisted-pull-up,
Band_Good_Morning,ExerciseDB,exercises/Band_Good_Morning/exercise.json,band-good-morning,Band Good Morning,Band Good Morning,Force athlétique,"[""Ischios""]","[""Fessiers"", ""Lombaires""]","[""Élastique""]",Débutant,Polyarticulaire,"Installe-toi correctement, garde le gainage et réalise le mouvement de façon contrôlée. Concentre-toi sur ischios et évite les à-coups. Reviens lentement en position de départ avant de répéter.","[""Charge trop lourde"", ""Amplitude incomplète"", ""Mouvement trop rapide""]",/media/exercises/band-good-morning/image.webp,/media/exercises/band-good-morning/animation.webp,/media/exercises/band-good-morning/thumbnail.webp,True,False,band-good-morning,band-good-morning,
Band_Good_Morning_(Pull_Through),ExerciseDB,exercises/Band_Good_Morning_(Pull_Through)/exercise.json,band-good-morning-pull-through,Band Good Morning (Pull Through),Band Good Morning (Pull Through),Force athlétique,"[""Ischios""]","[""Fessiers"", ""Lombaires""]","[""Élastique""]",Débutant,Polyarticulaire,"Installe-toi correctement, garde le gainage et réalise le mouvement de façon contrôlée. Concentre-toi sur ischios et évite les à-coups. Reviens lentement en position de départ avant de répéter.","[""Charge trop lourde"", ""Amplitude incomplète"", ""Mouvement trop rapide""]",/media/exercises/band-good-morning-pull-through/image.webp,/media/exercises/band-good-morning-pull-through/animation.webp,/media/exercises/band-good-morning-pull-through/thumbnail.webp,True,False,band-good-morning-pull-through,band-good-morning-pull-through,
Band_Hip_Adductions,ExerciseDB,exercises/Band_Hip_Adductions/exercise.json,band-hip-adductions,Band Hip Adductions,Band Hip Adductions,Jambes,"[""Adducteurs""]",[],"[""Élastique""]",Débutant,Isolation,"Installe-toi correctement, garde le gainage et réalise le mouvement de façon contrôlée. Concentre-toi sur adducteurs et évite les à-coups. Reviens lentement en position de départ avant de répéter.","[""Charge trop lourde"", ""Amplitude incomplète"", ""Mouvement trop rapide""]",/media/exercises/band-hip-adductions/image.webp,/media/exercises/band-hip-adductions/animation.webp,/media/exercises/band-hip-adductions/thumbnail.webp,True,False,band-hip-adductions,band-hip-adductions,
Band_Pull_Apart,ExerciseDB,exercises/Band_Pull_Apart/exercise.json,band-pull-apart,Band Pull Apart,Band Pull Apart,Épaules,"[""Épaules""]","[""Milieu du dos"", ""Trapèzes""]","[""Élastique""]",Débutant,Isolation,"Installe-toi correctement, garde le gainage et réalise le mouvement de façon contrôlée. Concentre-toi sur épaules et évite les à-coups. Reviens lentement en position de départ avant de répéter.","[""Charge trop lourde"", ""Amplitude incomplète"", ""Mouvement trop rapide""]",/media/exercises/band-pull-apart/image.webp,/media/exercises/band-pull-apart/animation.webp,/media/exercises/band-pull-apart/thumbnail.webp,True,False,band-pull-apart,band-pull-apart,
